,horizontal_difference,trial
1,37.606597900390625,vp1_188_Session1_d01_b02_45
2,37.606597900390625,vp1_188_Session1_d01_b02_45
0,-1.793670654,vp1_189_Session1_d01_b02_46
1,-1.793670654,vp1_189_Session1_d01_b02_46
2,-1.793670654,vp1_189_Session1_d01_b02_46
0,17.50604248046875,vp1_190_Session1_d01_b02_47
1,17.50604248046875,vp1_190_Session1_d01_b02_47
2,17.50604248046875,vp1_190_Session1_d01_b02_47
3,-23.71560669,vp1_190_Session1_d01_b02_47
4,-23.71560669,vp1_190_Session1_d01_b02_47
5,-23.71560669,vp1_190_Session1_d01_b02_47
0,-1.827178955,vp1_192_Session1_d01_b03_1
1,-1.827178955,vp1_192_Session1_d01_b03_1
2,-1.827178955,vp1_192_Session1_d01_b03_1
0,-18.88534546,vp1_193_Session1_d01_b03_2
1,-18.88534546,vp1_193_Session1_d01_b03_2
2,-18.88534546,vp1_193_Session1_d01_b03_2
0,7.822692871,vp1_194_Session1_d01_b03_3
1,7.822692871,vp1_194_Session1_d01_b03_3
2,7.822692871,vp1_194_Session1_d01_b03_3
3,-1.045776367,vp1_194_Session1_d01_b03_3
4,-1.045776367,vp1_194_Session1_d01_b03_3
5,-1.045776367,vp1_194_Session1_d01_b03_3
0,-25.68231201,vp1_196_Session1_d01_b03_5
1,-25.68231201,vp1_196_Session1_d01_b03_5
2,-25.68231201,vp1_196_Session1_d01_b03_5
0,7.455841064453125,vp1_197_Session1_d01_b03_6
1,7.455841064453125,vp1_197_Session1_d01_b03_6
2,7.455841064453125,vp1_197_Session1_d01_b03_6
0,4.040802001953125,vp1_198_Session1_d01_b03_7
1,4.040802001953125,vp1_198_Session1_d01_b03_7
2,4.040802001953125,vp1_198_Session1_d01_b03_7
0,4.381103516,vp1_201_Session1_d01_b03_10
1,4.381103516,vp1_201_Session1_d01_b03_10
2,4.381103516,vp1_201_Session1_d01_b03_10
0,7.743560791015625,vp1_202_Session1_d01_b03_11
1,7.743560791015625,vp1_202_Session1_d01_b03_11
2,7.743560791015625,vp1_202_Session1_d01_b03_11
0,43.493438720703125,vp1_203_Session1_d01_b03_12
